Modelo,Accuracy,F1-Score,k
Random Forest,0.6311253888124012,0.6288374480735514,0
Regresión Logística,0.6178165315384223,0.6159472729916176,0
Árbol de Decisión,0.6137881801030034,0.6138170945339931,0
Naive Bayes (Gaussian),0.5911988169904645,0.5598642462061619,0
