epsilon,rep,race,n,Accuracy
0.5,4,Caucasian,14970,0.571810287241149
0.5,4,Hispanic,410,0.6170731707317073
0.5,4,Other,295,0.6237288135593221
0.5,5,AfricanAmerican,3821,0.5927767600104684
0.5,5,Asian,115,0.43478260869565216
0.5,5,Caucasian,14970,0.5730794923179693
0.5,5,Hispanic,410,0.48292682926829267
0.5,5,Other,295,0.5661016949152542
0.5,6,AfricanAmerican,3821,0.5807380266945825
0.5,6,Asian,115,0.5826086956521739
0.5,6,Caucasian,14970,0.5605878423513694
0.5,6,Hispanic,410,0.6365853658536585
0.5,6,Other,295,0.6237288135593221
0.5,7,AfricanAmerican,3821,0.5789060455378173
0.5,7,Asian,115,0.6
0.5,7,Caucasian,14970,0.5618570474281898
0.5,7,Hispanic,410,0.6268292682926829
0.5,7,Other,295,0.5694915254237288
0.5,8,AfricanAmerican,3821,0.5762889295995812
0.5,8,Asian,115,0.4260869565217391
0.5,8,Caucasian,14970,0.5780227120908483
0.5,8,Hispanic,410,0.5341463414634147
0.5,8,Other,295,0.6271186440677966
0.5,9,AfricanAmerican,3821,0.552473174561633
0.5,9,Asian,115,0.591304347826087
0.5,9,Caucasian,14970,0.5610554442217769
0.5,9,Hispanic,410,0.6292682926829268
0.5,9,Other,295,0.5322033898305085
0.5,10,AfricanAmerican,3821,0.5804763151007589
0.5,10,Asian,115,0.391304347826087
0.5,10,Caucasian,14970,0.5758851035404141
0.5,10,Hispanic,410,0.6097560975609756
0.5,10,Other,295,0.5830508474576271
0.5,11,AfricanAmerican,3821,0.557183983250458
0.5,11,Asian,115,0.5826086956521739
0.5,11,Caucasian,14970,0.5428857715430861
0.5,11,Hispanic,410,0.5951219512195122
0.5,11,Other,295,0.6338983050847458
0.5,12,AfricanAmerican,3821,0.5642501962836953
0.5,12,Asian,115,0.5478260869565217
0.5,12,Caucasian,14970,0.5617234468937876
0.5,12,Hispanic,410,0.5878048780487805
0.5,12,Other,295,0.6169491525423729
0.5,13,AfricanAmerican,3821,0.552473174561633
0.5,13,Asian,115,0.4434782608695652
0.5,13,Caucasian,14970,0.5657314629258517
0.5,13,Hispanic,410,0.6292682926829268
0.5,13,Other,295,0.5898305084745763
0.5,14,AfricanAmerican,3821,0.5543051557183983
0.5,14,Asian,115,0.6173913043478261
0.5,14,Caucasian,14970,0.5507682030728123
0.5,14,Hispanic,410,0.5560975609756098
0.5,14,Other,295,0.6
0.5,15,AfricanAmerican,3821,0.5778591991625229
0.5,15,Asian,115,0.5565217391304348
0.5,15,Caucasian,14970,0.574749498997996
0.5,15,Hispanic,410,0.5585365853658537
0.5,15,Other,295,0.6067796610169491
0.5,16,AfricanAmerican,3821,0.5723632556922271
0.5,16,Asian,115,0.46956521739130436
0.5,16,Caucasian,14970,0.5595190380761523
0.5,16,Hispanic,410,0.5585365853658537
0.5,16,Other,295,0.6576271186440678
0.5,17,AfricanAmerican,3821,0.5399110180580999
0.5,17,Asian,115,0.6260869565217392
0.5,17,Caucasian,14970,0.5692718770875084
0.5,17,Hispanic,410,0.5804878048780487
0.5,17,Other,295,0.6067796610169491
0.5,18,AfricanAmerican,3821,0.5577074064381052
0.5,18,Asian,115,0.6
0.5,18,Caucasian,14970,0.566065464261857
0.5,18,Hispanic,410,0.5658536585365853
0.5,18,Other,295,0.6067796610169491
0.5,19,AfricanAmerican,3821,0.5762889295995812
0.5,19,Asian,115,0.6086956521739131
0.5,19,Caucasian,14970,0.5671342685370742
0.5,19,Hispanic,410,0.5365853658536586
0.5,19,Other,295,0.5830508474576271
1.0,0,AfricanAmerican,3821,0.6113582831719445
1.0,0,Asian,115,0.6173913043478261
1.0,0,Caucasian,14970,0.586439545758183
1.0,0,Hispanic,410,0.675609756097561
1.0,0,Other,295,0.6305084745762712
1.0,1,AfricanAmerican,3821,0.6082177440460612
1.0,1,Asian,115,0.6521739130434783
1.0,1,Caucasian,14970,0.5939879759519038
1.0,1,Hispanic,410,0.6317073170731707
1.0,1,Other,295,0.6033898305084746
1.0,2,AfricanAmerican,3821,0.6008898194190002
1.0,2,Asian,115,0.6260869565217392
1.0,2,Caucasian,14970,0.5868403473613895
1.0,2,Hispanic,410,0.6219512195121951
1.0,2,Other,295,0.535593220338983
1.0,3,AfricanAmerican,3821,0.6116199947657681
1.0,3,Asian,115,0.6347826086956522
1.0,3,Caucasian,14970,0.5983967935871743
1.0,3,Hispanic,410,0.6146341463414634
1.0,3,Other,295,0.6101694915254238
1.0,4,AfricanAmerican,3821,0.6121434179534153
1.0,4,Asian,115,0.6
1.0,4,Caucasian,14970,0.5979959919839679
