epsilon,rep,race,n,Accuracy
1.0,4,Caucasian,14970,0.5118236472945892
1.0,4,Hispanic,410,0.4902439024390244
1.0,4,Other,295,0.5220338983050847
1.0,5,AfricanAmerican,3821,0.5239466108348599
1.0,5,Asian,115,0.3826086956521739
1.0,5,Caucasian,14970,0.5157648630594522
1.0,5,Hispanic,410,0.551219512195122
1.0,5,Other,295,0.5389830508474577
1.0,6,AfricanAmerican,3821,0.519235802146035
1.0,6,Asian,115,0.5391304347826087
1.0,6,Caucasian,14970,0.5141616566466266
1.0,6,Hispanic,410,0.5365853658536586
1.0,6,Other,295,0.5423728813559322
1.0,7,AfricanAmerican,3821,0.4954200471080869
1.0,7,Asian,115,0.5652173913043478
1.0,7,Caucasian,14970,0.5032064128256513
1.0,7,Hispanic,410,0.44634146341463415
1.0,7,Other,295,0.4847457627118644
1.0,8,AfricanAmerican,3821,0.509290761580738
1.0,8,Asian,115,0.6173913043478261
1.0,8,Caucasian,14970,0.5146292585170341
1.0,8,Hispanic,410,0.4902439024390244
1.0,8,Other,295,0.5288135593220339
1.0,9,AfricanAmerican,3821,0.46061240512954726
1.0,9,Asian,115,0.391304347826087
1.0,9,Caucasian,14970,0.4729458917835671
1.0,9,Hispanic,410,0.4317073170731707
1.0,9,Other,295,0.4440677966101695
1.0,10,AfricanAmerican,3821,0.5082439152054437
1.0,10,Asian,115,0.5217391304347826
1.0,10,Caucasian,14970,0.5132264529058116
1.0,10,Hispanic,410,0.5560975609756098
1.0,10,Other,295,0.5220338983050847
1.0,11,AfricanAmerican,3821,0.47343627322690396
1.0,11,Asian,115,0.6173913043478261
1.0,11,Caucasian,14970,0.476686706746827
1.0,11,Hispanic,410,0.43902439024390244
1.0,11,Other,295,0.41694915254237286
1.0,12,AfricanAmerican,3821,0.4668934833813138
1.0,12,Asian,115,0.6173913043478261
1.0,12,Caucasian,14970,0.4724114896459586
1.0,12,Hispanic,410,0.4146341463414634
1.0,12,Other,295,0.3898305084745763
1.0,13,AfricanAmerican,3821,0.5228997644595655
1.0,13,Asian,115,0.6173913043478261
1.0,13,Caucasian,14970,0.522311289245157
1.0,13,Hispanic,410,0.5439024390243903
1.0,13,Other,295,0.5389830508474577
1.0,14,AfricanAmerican,3821,0.5132164354880921
1.0,14,Asian,115,0.591304347826087
1.0,14,Caucasian,14970,0.5190380761523046
1.0,14,Hispanic,410,0.524390243902439
1.0,14,Other,295,0.5728813559322034
1.0,15,AfricanAmerican,3821,0.5221146296780947
1.0,15,Asian,115,0.5739130434782609
1.0,15,Caucasian,14970,0.5146960587842352
1.0,15,Hispanic,410,0.5560975609756098
1.0,15,Other,295,0.5661016949152542
1.0,16,AfricanAmerican,3821,0.4593038471604292
1.0,16,Asian,115,0.3826086956521739
1.0,16,Caucasian,14970,0.4704074816299265
1.0,16,Hispanic,410,0.4195121951219512
1.0,16,Other,295,0.39322033898305087
1.0,17,AfricanAmerican,3821,0.48547500654278986
1.0,17,Asian,115,0.6173913043478261
1.0,17,Caucasian,14970,0.47935871743486974
1.0,17,Hispanic,410,0.43414634146341463
1.0,17,Other,295,0.4610169491525424
1.0,18,AfricanAmerican,3821,0.4645380790369013
1.0,18,Asian,115,0.4
1.0,18,Caucasian,14970,0.4702070808283233
1.0,18,Hispanic,410,0.3902439024390244
1.0,18,Other,295,0.3898305084745763
1.0,19,AfricanAmerican,3821,0.5323213818372153
1.0,19,Asian,115,0.5043478260869565
1.0,19,Caucasian,14970,0.5289245156980628
1.0,19,Hispanic,410,0.5829268292682926
1.0,19,Other,295,0.6067796610169491
10.0,0,AfricanAmerican,3821,0.47422140800837476
10.0,0,Asian,115,0.4434782608695652
10.0,0,Caucasian,14970,0.47461589846359387
10.0,0,Hispanic,410,0.44146341463414634
10.0,0,Other,295,0.46440677966101696
10.0,1,AfricanAmerican,3821,0.5304894006804501
10.0,1,Asian,115,0.5652173913043478
10.0,1,Caucasian,14970,0.5288577154308617
10.0,1,Hispanic,410,0.5463414634146342
10.0,1,Other,295,0.5661016949152542
10.0,2,AfricanAmerican,3821,0.46218267469248886
10.0,2,Asian,115,0.3826086956521739
10.0,2,Caucasian,14970,0.4723446893787575
10.0,2,Hispanic,410,0.424390243902439
10.0,2,Other,295,0.423728813559322
10.0,3,AfricanAmerican,3821,0.46584663700601936
10.0,3,Asian,115,0.40869565217391307
10.0,3,Caucasian,14970,0.4728790915163661
10.0,3,Hispanic,410,0.40487804878048783
10.0,3,Other,295,0.3898305084745763
10.0,4,AfricanAmerican,3821,0.504056529704266
10.0,4,Asian,115,0.5652173913043478
10.0,4,Caucasian,14970,0.5118236472945892
10.0,4,Hispanic,410,0.4878048780487805
10.0,4,Other,295,0.5152542372881356
10.0,5,AfricanAmerican,3821,0.5228997644595655
10.0,5,Asian,115,0.5304347826086957
10.0,5,Caucasian,14970,0.5146960587842352
10.0,5,Hispanic,410,0.551219512195122
10.0,5,Other,295,0.5423728813559322
10.0,6,AfricanAmerican,3821,0.5174038209892698
10.0,6,Asian,115,0.5478260869565217
10.0,6,Caucasian,14970,0.5127588510354042
10.0,6,Hispanic,410,0.5365853658536586
10.0,6,Other,295,0.5322033898305085
10.0,7,AfricanAmerican,3821,0.4967286050772049
10.0,7,Asian,115,0.48695652173913045
10.0,7,Caucasian,14970,0.5034068136272545
10.0,7,Hispanic,410,0.44878048780487806
10.0,7,Other,295,0.4847457627118644
10.0,8,AfricanAmerican,3821,0.5132164354880921
10.0,8,Asian,115,0.5565217391304348
10.0,8,Caucasian,14970,0.516432865731463
10.0,8,Hispanic,410,0.4951219512195122
10.0,8,Other,295,0.5322033898305085
10.0,9,AfricanAmerican,3821,0.46061240512954726
10.0,9,Asian,115,0.3826086956521739
10.0,9,Caucasian,14970,0.47307949231796925
10.0,9,Hispanic,410,0.4292682926829268
10.0,9,Other,295,0.4406779661016949
10.0,10,AfricanAmerican,3821,0.5113844543313268
10.0,10,Asian,115,0.5043478260869565
10.0,10,Caucasian,14970,0.5148964595858383
10.0,10,Hispanic,410,0.5487804878048781
10.0,10,Other,295,0.5186440677966102
10.0,11,AfricanAmerican,3821,0.4763151007589636
10.0,11,Asian,115,0.3739130434782609
10.0,11,Caucasian,14970,0.47575150300601204
10.0,11,Hispanic,410,0.4317073170731707
10.0,11,Other,295,0.4101694915254237
10.0,12,AfricanAmerican,3821,0.46532321381837216
10.0,12,Asian,115,0.3826086956521739
10.0,12,Caucasian,14970,0.47034068136272544
10.0,12,Hispanic,410,0.4121951219512195
10.0,12,Other,295,0.39661016949152544
10.0,13,AfricanAmerican,3821,0.5187123789583878
10.0,13,Asian,115,0.5304347826086957
10.0,13,Caucasian,14970,0.5270541082164328
10.0,13,Hispanic,410,0.5585365853658537
10.0,13,Other,295,0.5457627118644067
10.0,14,AfricanAmerican,3821,0.5137398586757393
10.0,14,Asian,115,0.591304347826087
10.0,14,Caucasian,14970,0.5197728790915164
10.0,14,Hispanic,410,0.524390243902439
10.0,14,Other,295,0.5728813559322034
10.0,15,AfricanAmerican,3821,0.5242083224286835
10.0,15,Asian,115,0.5652173913043478
10.0,15,Caucasian,14970,0.5136940547762191
10.0,15,Hispanic,410,0.5634146341463414
10.0,15,Other,295,0.5661016949152542
10.0,16,AfricanAmerican,3821,0.46113582831719446
10.0,16,Asian,115,0.3739130434782609
10.0,16,Caucasian,14970,0.4683366733466934
10.0,16,Hispanic,410,0.4097560975609756
10.0,16,Other,295,0.39322033898305087
10.0,17,AfricanAmerican,3821,0.4807641978539649
10.0,17,Asian,115,0.3826086956521739
10.0,17,Caucasian,14970,0.4748162992651971
10.0,17,Hispanic,410,0.4097560975609756
10.0,17,Other,295,0.4440677966101695
10.0,18,AfricanAmerican,3821,0.4640146558492541
10.0,18,Asian,115,0.4
10.0,18,Caucasian,14970,0.46927187708750834
10.0,18,Hispanic,410,0.3902439024390244
10.0,18,Other,295,0.3898305084745763
10.0,19,AfricanAmerican,3821,0.5346767861816278
10.0,19,Asian,115,0.6173913043478261
10.0,19,Caucasian,14970,0.5302605210420842
10.0,19,Hispanic,410,0.5853658536585366
10.0,19,Other,295,0.6067796610169491
