epsilon,rep,race,n,Accuracy
0.5,4,Asian,115,0.6347826086956522
0.5,4,Caucasian,14970,0.5263861055444222
0.5,4,Hispanic,410,0.5195121951219512
0.5,4,Other,295,0.5220338983050847
0.5,5,AfricanAmerican,3821,0.4713425804763151
0.5,5,Asian,115,0.4695652173913043
0.5,5,Caucasian,14970,0.4725450901803607
0.5,5,Hispanic,410,0.4195121951219512
0.5,5,Other,295,0.4067796610169492
0.5,6,AfricanAmerican,3821,0.4975137398586757
0.5,6,Asian,115,0.5478260869565217
0.5,6,Caucasian,14970,0.4992651970607882
0.5,6,Hispanic,410,0.5634146341463414
0.5,6,Other,295,0.5627118644067797
0.5,7,AfricanAmerican,3821,0.512693012300445
0.5,7,Asian,115,0.5130434782608696
0.5,7,Caucasian,14970,0.5035404141616566
0.5,7,Hispanic,410,0.5560975609756098
0.5,7,Other,295,0.511864406779661
0.5,8,AfricanAmerican,3821,0.4956817587019105
0.5,8,Asian,115,0.4956521739130435
0.5,8,Caucasian,14970,0.5020708082832331
0.5,8,Hispanic,410,0.4853658536585366
0.5,8,Other,295,0.535593220338983
0.5,9,AfricanAmerican,3821,0.4818110442292593
0.5,9,Asian,115,0.4260869565217391
0.5,9,Caucasian,14970,0.4873079492317969
0.5,9,Hispanic,410,0.4707317073170731
0.5,9,Other,295,0.447457627118644
0.5,10,AfricanAmerican,3821,0.4956817587019105
0.5,10,Asian,115,0.6086956521739131
0.5,10,Caucasian,14970,0.5117568470273881
0.5,10,Hispanic,410,0.5536585365853659
0.5,10,Other,295,0.5288135593220339
0.5,11,AfricanAmerican,3821,0.5234231876472127
0.5,11,Asian,115,0.6173913043478261
0.5,11,Caucasian,14970,0.5247160988643954
0.5,11,Hispanic,410,0.5853658536585366
0.5,11,Other,295,0.5932203389830508
0.5,12,AfricanAmerican,3821,0.5155718398325045
0.5,12,Asian,115,0.6086956521739131
0.5,12,Caucasian,14970,0.5182364729458918
0.5,12,Hispanic,410,0.5414634146341464
0.5,12,Other,295,0.5254237288135594
0.5,13,AfricanAmerican,3821,0.4870452761057315
0.5,13,Asian,115,0.4869565217391304
0.5,13,Caucasian,14970,0.5118904475617903
0.5,13,Hispanic,410,0.5073170731707317
0.5,13,Other,295,0.5016949152542373
0.5,14,AfricanAmerican,3821,0.5349384977754514
0.5,14,Asian,115,0.591304347826087
0.5,14,Caucasian,14970,0.5263861055444222
0.5,14,Hispanic,410,0.5609756097560976
0.5,14,Other,295,0.5830508474576271
0.5,15,AfricanAmerican,3821,0.4757916775713164
0.5,15,Asian,115,0.4260869565217391
0.5,15,Caucasian,14970,0.4768871075484301
0.5,15,Hispanic,410,0.4414634146341463
0.5,15,Other,295,0.4338983050847457
0.5,16,AfricanAmerican,3821,0.5098141847683852
0.5,16,Asian,115,0.5739130434782609
0.5,16,Caucasian,14970,0.4985303941215764
0.5,16,Hispanic,410,0.5219512195121951
0.5,16,Other,295,0.5254237288135594
0.5,17,AfricanAmerican,3821,0.5001308557969119
0.5,17,Asian,115,0.4695652173913043
0.5,17,Caucasian,14970,0.5002004008016032
0.5,17,Hispanic,410,0.5682926829268292
0.5,17,Other,295,0.5694915254237288
0.5,18,AfricanAmerican,3821,0.4862601413242606
0.5,18,Asian,115,0.4260869565217391
0.5,18,Caucasian,14970,0.4861055444221777
0.5,18,Hispanic,410,0.4682926829268293
0.5,18,Other,295,0.4847457627118644
0.5,19,AfricanAmerican,3821,0.5244700340225072
0.5,19,Asian,115,0.6086956521739131
0.5,19,Caucasian,14970,0.5258517034068136
0.5,19,Hispanic,410,0.551219512195122
0.5,19,Other,295,0.5932203389830508
1.0,0,AfricanAmerican,3821,0.4765768123527872
1.0,0,Asian,115,0.3217391304347826
1.0,0,Caucasian,14970,0.4877087508350033
1.0,0,Hispanic,410,0.4682926829268293
1.0,0,Other,295,0.4372881355932203
1.0,1,AfricanAmerican,3821,0.5160952630201517
1.0,1,Asian,115,0.5652173913043478
1.0,1,Caucasian,14970,0.516499665998664
1.0,1,Hispanic,410,0.5146341463414634
1.0,1,Other,295,0.488135593220339
1.0,2,AfricanAmerican,3821,0.5071970688301491
1.0,2,Asian,115,0.5826086956521739
1.0,2,Caucasian,14970,0.5273213092852371
1.0,2,Hispanic,410,0.5756097560975609
1.0,2,Other,295,0.5966101694915255
