is_member,score
1,0.391132
1,0.763989
1,0.327581
1,0.354376
1,0.49801
1,0.61949
1,0.097525
1,0.591829
1,0.441687
1,0.330422
1,0.576685
1,0.482235
1,0.384009
1,0.595253
1,0.511093
1,0.699151
1,0.52447
1,0.814175
1,0.756622
1,0.398478
1,0.657307
1,0.25915
1,0.559926
1,0.535495
1,0.484608
1,0.569885
1,0.547988
1,0.700269
1,0.465979
1,0.896989
1,0.864724
1,0.346323
1,0.82561
1,0.382531
1,0.470711
1,0.421084
1,0.540906
1,0.399279
1,0.709524
1,0.231491
1,0.684098
1,0.476452
1,0.108443
1,0.467629
1,0.561544
1,0.227502
1,0.787332
1,0.738477
1,0.35376
1,0.315877
1,0.431257
1,0.567886
1,0.738901
1,0.530808
1,0.437373
1,0.691183
1,0.617363
1,0.761651
1,0.55999
1,0.740179
1,0.27542
1,0.691195
1,0.705485
1,0.767023
1,0.489239
1,0.487354
1,0.535892
1,0.400593
1,0.659911
1,0.700428
1,0.468084
1,0.443032
1,0.647811
1,0.222011
1,0.480745
1,0.530831
1,0.330162
1,0.772262
1,0.61206
1,0.863533
1,0.796559
1,0.295962
1,0.575519
1,0.310604
1,0.439104
1,0.384204
1,0.389053
1,0.697001
1,0.317138
1,0.817791
1,0.534121
1,0.261905
1,0.569871
1,0.417825
1,0.585405
1,0.352284
1,0.336025
1,0.184558
1,0.587131
1,0.335145
1,0.384131
1,0.265787
1,0.171993
1,0.641404
1,0.532944
1,0.602778
1,0.336842
1,0.601987
1,0.389376
1,0.394989
1,0.574123
1,0.403176
1,0.407724
1,0.510375
1,0.54502
1,0.558736
1,0.706209
1,0.673236
1,0.526741
1,0.213718
1,0.429582
1,0.544991
1,0.644722
1,0.57812
1,0.390807
1,0.554069
1,0.483049
1,0.352596
1,0.695142
1,0.43443
1,0.360159
1,0.658489
1,0.712338
1,0.836953
1,0.388054
1,0.259645
1,0.540774
1,0.28269
1,0.728997
1,0.484359
1,0.552321
1,0.635957
1,0.233297
1,0.429741
1,0.813533
1,0.506528
1,0.354182
1,0.545025
1,0.609438
1,0.337688
1,0.849874
1,0.399296
1,0.228976
1,0.49951
1,0.618167
1,0.276958
1,0.549345
1,0.446245
1,0.415755
1,0.510176
1,0.633754
1,0.575565
1,0.521622
1,0.529371
1,0.553174
1,0.615007
1,0.572129
1,0.427579
1,0.758273
1,0.732892
1,0.592723
1,0.46995
1,0.959956
1,0.400394
1,0.510482
1,0.65401
1,0.60476
1,0.717197
1,0.457771
1,0.372249
1,0.244502
1,0.457679
1,0.74879
1,0.575929
1,0.58363
1,0.867329
1,0.354869
1,0.166453
1,0.383437
1,0.529781
1,0.377527
1,0.503351
1,0.555765
1,0.519752
1,0.471172
1,0.474477
1,0.685591
1,0.4883
1,0.841121
1,0.50496
1,0.460698
1,0.390824
1,0.491184
1,0.399657
1,0.345193
1,0.462072
1,0.798022
1,0.593905
1,0.494805
1,0.563618
1,0.405725
1,0.290068
1,0.347836
1,0.326974
1,0.80042
1,0.690524
1,0.27521
1,0.707734
1,0.211711
1,0.44985
1,0.542034
1,0.195286
1,0.686029
1,0.71737
1,0.517533
1,0.390085
1,0.601164
1,0.572645
1,0.784358
1,0.711362
1,0.574583
1,0.535167
1,0.345162
1,0.508494
1,0.3901
1,0.743577
1,0.631626
1,0.658616
1,0.512497
1,0.481611
1,0.352527
1,0.861386
1,0.321631
1,0.623394
1,0.254273
1,0.872201
1,0.38747
1,0.379983
1,0.44491
1,0.460389
1,0.708674
1,0.250253
1,0.460965
1,0.654356
1,0.462716
1,0.492974
1,0.610895
1,0.425865
1,0.563121
1,0.806407
1,0.277919
1,0.499295
1,0.622071
1,0.219096
1,0.71782
1,0.547627
1,0.795711
1,0.605507
1,0.477014
1,0.337723
1,0.764771
1,0.598187
1,0.439209
1,0.659156
1,0.546294
1,0.418716
1,0.70353
1,0.615384
1,0.791257
1,0.322241
1,0.517188
1,0.800802
1,0.437105
1,0.628024
1,0.452091
1,0.577652
1,0.547073
1,0.671643
1,0.706476
1,0.599587
1,0.61992
1,0.671144
1,0.719058
1,0.34196
1,0.28802
1,0.524812
1,0.360465
1,0.676416
1,0.500567
1,0.337523
1,0.528272
1,0.466255
1,0.408134
1,0.658145
1,0.523116
1,0.229654
1,0.582911
1,0.351003
1,0.643922
1,0.347536
1,0.299093
1,0.563739
1,0.486114
1,0.512826
1,0.777191
1,0.541557
1,0.565274
1,0.587174
1,0.635124
1,0.505218
1,0.701017
1,0.559188
1,0.311647
1,0.486586
1,0.877835
1,0.631578
1,0.409856
1,0.681018
1,0.650034
1,0.210597
1,0.59401
1,0.37398
1,0.321516
1,0.580604
1,0.859197
1,0.491021
1,0.668956
1,0.595472
1,0.73052
1,0.215036
1,0.770407
1,0.156178
1,0.459946
1,0.240608
1,0.222172
1,0.69234
1,0.357068
1,0.601593
1,0.611554
1,0.327512
1,0.335166
1,0.763996
1,0.319762
1,0.340368
1,0.683473
1,0.591296
1,0.724274
1,0.434119
1,0.238125
1,0.550626
1,0.33236
1,0.329821
1,0.350109
1,0.604121
1,0.593779
1,0.49784
1,0.726346
1,0.338159
1,0.479346
1,0.380087
1,0.831973
1,0.560833
1,0.590759
1,0.529224
1,0.647208
1,0.571397
1,0.669296
