escenario,victima,seed,utility_acc,attack_acc,attack_advantage,attack_auc,rate_member_predicted_1,rate_non_member_predicted_1
k=10,Random Forest,137,0.6352,0.5567,0.0146,0.5091,0.6554,0.6408
k=10,Random Forest,271,0.6352,0.5525,-0.0034,0.5022,0.661,0.6644
k=10,Random Forest,314,0.6352,0.5671,0.0226,0.5186,0.6786,0.656
k=10,Random Forest,1729,0.6352,0.5587,0.0102,0.5086,0.6658,0.6556
k=10,Random Forest,2718,0.6352,0.5509,-0.0098,0.5086,0.6626,0.6724
k=10,Random Forest,3141,0.6352,0.5545,-0.0004,0.5056,0.664,0.6644
k=10,Random Forest,6022,0.6352,0.5564,-0.0014,0.5004,0.6706,0.672
k=10,Random Forest,8128,0.6352,0.5468,-0.0164,0.4967,0.6568,0.6732
k=10,Random Forest,9999,0.6352,0.566,0.0194,0.5123,0.6786,0.6592
k=10,Random Forest,10007,0.6352,0.5571,0.0042,0.4978,0.667,0.6628
k=10,Random Forest,11113,0.6352,0.5596,0.003,0.5092,0.6758,0.6728
k=10,Random Forest,13121,0.6352,0.5533,-0.0016,0.5025,0.6616,0.6632
k=10,Random Forest,17171,0.6352,0.5584,0.0112,0.5106,0.664,0.6528
k=10,Random Forest,19273,0.6352,0.5596,0.0072,0.5073,0.6716,0.6644
k=10,Random Forest,23131,0.6352,0.558,0.0,0.5019,0.674,0.674
k=10,Random Forest,29327,0.6352,0.5592,0.0138,0.5082,0.6638,0.65
k=10,Random Forest,31193,0.6352,0.5441,-0.0192,0.4883,0.6516,0.6708
k=10,Random Forest,33391,0.6352,0.5645,0.0214,0.5125,0.6722,0.6508
k=10,Random Forest,37397,0.6352,0.5523,-0.0068,0.494,0.6636,0.6704
k=50,Regresión Logística,42,0.6212,0.5601,0.0102,0.5023,0.6702,0.66
k=50,Regresión Logística,137,0.6212,0.5592,0.0098,0.5164,0.6678,0.658
k=50,Regresión Logística,271,0.6212,0.5537,0.0016,0.5032,0.6596,0.658
k=50,Regresión Logística,314,0.6212,0.5589,0.01,0.5055,0.6668,0.6568
k=50,Regresión Logística,1729,0.6212,0.5513,-0.0024,0.496,0.6564,0.6588
k=50,Regresión Logística,2718,0.6212,0.564,0.0138,0.5089,0.6782,0.6644
k=50,Regresión Logística,3141,0.6212,0.5552,0.0032,0.5066,0.6624,0.6592
k=50,Regresión Logística,6022,0.6212,0.5417,-0.0282,0.4868,0.6534,0.6816
k=50,Regresión Logística,8128,0.6212,0.5543,0.0008,0.4995,0.662,0.6612
k=50,Regresión Logística,9999,0.6212,0.5576,0.0098,0.502,0.663,0.6532
k=50,Regresión Logística,10007,0.6212,0.5567,0.008,0.5046,0.662,0.654
k=50,Regresión Logística,11113,0.6212,0.5489,-0.0118,0.4983,0.6586,0.6704
k=50,Regresión Logística,13121,0.6212,0.5565,-0.0032,0.5032,0.6728,0.676
k=50,Regresión Logística,17171,0.6212,0.5565,-0.0014,0.503,0.671,0.6724
k=50,Regresión Logística,19273,0.6212,0.5595,0.0036,0.4987,0.6748,0.6712
k=50,Regresión Logística,23131,0.6212,0.5636,0.0078,0.5015,0.683,0.6752
k=50,Regresión Logística,29327,0.6212,0.5512,-0.0116,0.4916,0.6652,0.6768
k=50,Regresión Logística,31193,0.6212,0.5601,0.005,0.5025,0.6754,0.6704
k=50,Regresión Logística,33391,0.6212,0.5703,0.0266,0.5056,0.6842,0.6576
k=50,Regresión Logística,37397,0.6212,0.5525,-0.0134,0.4885,0.671,0.6844
k=50,Random Forest,42,0.6294,0.5556,0.003,0.5089,0.6638,0.6608
k=50,Random Forest,137,0.6294,0.5627,0.0114,0.5047,0.6766,0.6652
k=50,Random Forest,271,0.6294,0.5557,0.0014,0.5133,0.6658,0.6644
k=50,Random Forest,314,0.6294,0.5665,0.0172,0.5177,0.6824,0.6652
k=50,Random Forest,1729,0.6294,0.5607,0.015,0.5118,0.667,0.652
k=50,Random Forest,2718,0.6294,0.5599,0.0106,0.5076,0.669,0.6584
k=50,Random Forest,3141,0.6294,0.5477,-0.016,0.5035,0.6592,0.6752
k=50,Random Forest,6022,0.6294,0.5543,0.0,0.5021,0.6628,0.6628
k=50,Random Forest,8128,0.6294,0.5668,0.026,0.5199,0.6744,0.6484
k=50,Random Forest,9999,0.6294,0.558,0.0082,0.5083,0.6658,0.6576
k=50,Random Forest,10007,0.6294,0.5581,0.0062,0.5102,0.6682,0.662
k=50,Random Forest,11113,0.6294,0.5569,-0.0046,0.4964,0.6754,0.68
k=50,Random Forest,13121,0.6294,0.5568,0.002,0.5049,0.6684,0.6664
k=50,Random Forest,17171,0.6294,0.5517,-0.0058,0.5009,0.661,0.6668
k=50,Random Forest,19273,0.6294,0.5495,-0.0094,0.4966,0.6578,0.6672
k=50,Random Forest,23131,0.6294,0.5513,0.0054,0.5107,0.6486,0.6432
k=50,Random Forest,29327,0.6294,0.5612,0.0052,0.5056,0.6784,0.6732
k=50,Random Forest,31193,0.6294,0.5608,0.0074,0.5096,0.675,0.6676
k=50,Random Forest,33391,0.6294,0.5612,0.0138,0.5079,0.6698,0.656
k=50,Random Forest,37397,0.6294,0.5588,0.0006,0.5033,0.6758,0.6752
DP ε=0.1,Regresión Logística,42,0.5267,0.6611,0.0004,0.5081,0.9828,0.9824
DP ε=0.1,Regresión Logística,137,0.5267,0.6612,0.0002,0.506,0.9834,0.9832
DP ε=0.1,Regresión Logística,271,0.5267,0.6612,0.0006,0.4948,0.983,0.9824
DP ε=0.1,Regresión Logística,314,0.5267,0.6601,0.0,0.4942,0.9804,0.9804
DP ε=0.1,Regresión Logística,1729,0.5267,0.6621,0.0034,0.5039,0.983,0.9796
DP ε=0.1,Regresión Logística,2718,0.5267,0.6592,-0.004,0.5077,0.9816,0.9856
DP ε=0.1,Regresión Logística,3141,0.5267,0.6596,-0.0038,0.5004,0.9826,0.9864
DP ε=0.1,Regresión Logística,6022,0.5267,0.6604,-0.0002,0.4846,0.9814,0.9816
DP ε=0.1,Regresión Logística,8128,0.5267,0.6628,0.0052,0.5058,0.9832,0.978
DP ε=0.1,Regresión Logística,9999,0.5267,0.6544,-0.0076,0.5029,0.9708,0.9784
DP ε=0.1,Regresión Logística,10007,0.5267,0.6579,-0.003,0.4983,0.9766,0.9796
DP ε=0.1,Regresión Logística,11113,0.5267,0.6588,-0.004,0.495,0.9804,0.9844
DP ε=0.1,Regresión Logística,13121,0.5267,0.6616,0.0026,0.5049,0.9822,0.9796
